Unnamed: 0,Team,Batter,Dismissal,Runs,Balls,4s,6s,SR,match_id,is_plate,dismissal_type,batting_position
7,SAUR,Parth Bhut,not out,14,12,0,0,116.67,SAURvsAP,False,not out,8
8,SAUR,Ankur Panwar,not out,7,4,0,1,175.0,SAURvsAP,False,not out,9
9,AP,CR Gnaneshwar,run out (Hiten Kanbi),33,28,6,0,117.86,SAURvsAP,False,run out,1
10,AP,Srikar Bharat (wk),c Chirag Jani b Chirag Jani,4,3,1,0,133.33,SAURvsAP,False,caught,2
11,AP,Maramreddy Hemanth Reddy,c Vishvaraj Jadeja b Ankur Panwar,29,50,4,0,58.0,SAURvsAP,False,caught,3
12,AP,Ricky Bhui,c Prerak Mankad b Ankur Panwar,4,15,0,0,26.67,SAURvsAP,False,caught,4
13,AP,Nitish Kumar Reddy (c),b Hiten Kanbi,30,40,4,0,75.0,SAURvsAP,False,bowled,5
14,AP,Yara Sandeep,c Harvik Desai b Ankur Panwar,0,1,0,0,0.0,SAURvsAP,False,caught,6
15,AP,SDNV Prasad,lbw b Ankur Panwar,10,10,2,0,100.0,SAURvsAP,False,lbw,7
16,AP,K S Narasimha Raju,c Chirag Jani b Ankur Panwar,30,45,3,0,66.67,SAURvsAP,False,caught,8
17,AP,Saurabh Kumar,c Harvik Desai b Parth Bhut,0,3,0,0,0.0,SAURvsAP,False,caught,9
18,AP,Jagarlapudi Ram,not out,20,51,1,0,39.22,SAURvsAP,False,not out,10
19,AP,Satyanarayana Raju,c Prerak Mankad b Sammar Gajjar,14,38,0,0,36.84,SAURvsAP,False,caught,11
0,SAUR,Harvik Desai (c & wk),c Pant b Navdeep Saini,28,29,5,0,96.55,SAURvsDEL,False,caught,1
1,SAUR,Vishvaraj Jadeja,c Harsh Tyagi b Navdeep Saini,115,104,13,1,110.58,SAURvsDEL,False,caught,2
2,SAUR,Jay Gohil,c Arpit Rana b Prince Yadav,6,10,1,0,60.0,SAURvsDEL,False,caught,3
3,SAUR,Sammar Gajjar,c Ayush Doseja b Prince Yadav,41,42,2,3,97.62,SAURvsDEL,False,caught,4
4,SAUR,Prerak Mankad,lbw b Navdeep Saini,2,4,0,0,50.0,SAURvsDEL,False,lbw,5
5,SAUR,Chirag Jani,c Simarjeet Singh b Arpit Rana,17,26,1,1,65.38,SAURvsDEL,False,caught,6
6,SAUR,Ruchit Ahir,not out,95,65,7,5,146.15,SAURvsDEL,False,not out,7
7,SAUR,DA Jadeja,c (sub)Hrithik Shokeen b Harsh Tyagi,9,19,0,0,47.37,SAURvsDEL,False,caught,8
8,SAUR,Chetan Sakariya,not out,1,1,0,0,100.0,SAURvsDEL,False,not out,9
9,DEL,Priyansh Arya,c Ruchit Ahir b Chetan Sakariya,78,45,5,6,173.33,SAURvsDEL,False,caught,1
10,DEL,Arpit Rana,c DA Jadeja b Chirag Jani,14,12,2,0,116.67,SAURvsDEL,False,caught,2
11,DEL,Ayush Doseja,c DA Jadeja b Prerak Mankad,24,38,3,0,63.16,SAURvsDEL,False,caught,3
12,DEL,Nitish Rana,c Chirag Jani b Hiten Kanbi,37,42,6,0,88.1,SAURvsDEL,False,caught,4
13,DEL,Rishabh Pant (c & wk),c Jay Gohil b Chirag Jani,22,26,0,2,84.62,SAURvsDEL,False,caught,5
14,DEL,Tejasvi Dahiya,c Hiten Kanbi b Ankur Panwar,53,51,3,3,103.92,SAURvsDEL,False,caught,6
15,DEL,Harsh Tyagi,c Harvik Desai b Hiten Kanbi,49,45,3,1,108.89,SAURvsDEL,False,caught,7
16,DEL,Navdeep Saini,not out,34,29,2,1,117.24,SAURvsDEL,False,not out,8
17,DEL,Prince Yadav,not out,3,5,0,0,60.0,SAURvsDEL,False,not out,9
0,SAUR,Harvik Desai (c & wk),c Ravi Bishnoi b Vishal Jayswal,82,80,13,1,102.5,SAURvsGUJ,False,caught,1
1,SAUR,Vishvaraj Jadeja,c Aarya Desai b Japagnya Bhatt,112,103,9,5,108.74,SAURvsGUJ,False,caught,2
2,SAUR,Prerak Mankad,c Urvil Patel b Ravi Bishnoi,86,49,10,4,175.51,SAURvsGUJ,False,caught,3
3,SAUR,Ravindra Jadeja,not out,52,39,4,2,133.33,SAURvsGUJ,False,not out,4
4,SAUR,Chirag Jani,c Ahaan Poddar b Nagwaswalla,43,27,3,2,159.26,SAURvsGUJ,False,caught,5
5,SAUR,Ruchit Ahir,not out,2,2,0,0,100.0,SAURvsGUJ,False,not out,6
6,GUJ,Aarya Desai,c Chetan Sakariya b Ravindra Jadeja,36,37,3,2,97.3,SAURvsGUJ,False,caught,1
7,GUJ,Urvil Patel (wk),c Prerak Mankad b Chirag Jani,15,9,2,1,166.67,SAURvsGUJ,False,caught,2
8,GUJ,Ahaan Poddar,c Ravindra Jadeja b Ankur Panwar,37,26,5,2,142.31,SAURvsGUJ,False,caught,3
9,GUJ,Jaymeet Patel,c Chirag Jani b Pranav Karia,30,29,1,1,103.45,SAURvsGUJ,False,caught,4
10,GUJ,Kshitij Patel,c Prerak Mankad b Ravindra Jadeja,42,43,5,0,97.67,SAURvsGUJ,False,caught,5
11,GUJ,Saurav Chauhan,run out (Vishvaraj Jadeja),0,5,0,0,0.0,SAURvsGUJ,False,run out,6
12,GUJ,Vishal Jayswal,c (sub)Ansh Gosai b Ravindra Jadeja,4,6,0,0,66.67,SAURvsGUJ,False,caught,7
13,GUJ,Ravi Bishnoi,c Vishvaraj Jadeja b Chetan Sakariya,30,39,1,2,76.92,SAURvsGUJ,False,caught,8
14,GUJ,Chintan Gaja (c),not out,26,35,1,1,74.29,SAURvsGUJ,False,not out,9
